Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Mads Hermansen,dk DEN,GK,24-316,26.5,3,0.11,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bilal El Khannouss,ma MAR,"MF,FW",21-013,24.2,78,3.22,54,9,8,4,3,0,7,0.29,5,1,0,1,0,0,Matches
Boubakary Soumaré,fr FRA,MF,26-085,23.1,35,1.51,27,0,5,1,2,0,3,0.13,3,0,0,0,0,0,Matches
Conor Coady,eng ENG,DF,32-087,18.0,6,0.33,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jordan Ayew,gh GHA,"FW,MF",33-254,17.2,39,2.27,24,8,2,3,1,1,2,0.12,1,0,0,1,0,0,Matches
Harry Winks,eng ENG,MF,29-110,17.1,39,2.28,29,7,1,1,1,0,3,0.18,2,1,0,0,0,0,Matches
Stephy Mavididi,eng ENG,FW,26-357,17.9,50,2.78,39,2,4,2,2,1,7,0.39,6,0,1,0,0,0,Matches
Jannik Vestergaard,dk DEN,DF,32-293,15.5,7,0.45,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Facundo Buonanotte,ar ARG,"FW,MF",20-151,16.7,51,3.05,27,11,9,1,3,0,5,0.3,1,2,2,0,0,0,Matches
Caleb Okoli,it ITA,DF,23-314,12.5,4,0.32,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luke Thomas,eng ENG,DF,23-347,11.5,15,1.3,11,3,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
Oliver Skipp,eng ENG,MF,24-249,11.8,15,1.28,13,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Jakub Stolarczyk,pl POL,GK,24-155,9.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bobby De Cordova-Reid,jm JAM,FW,32-110,8.3,13,1.57,8,0,0,3,2,0,3,0.36,1,0,0,1,1,0,Matches
Kasey McAteer,ie IRL,"FW,MF",23-182,8.5,20,2.35,18,0,0,0,2,0,2,0.23,1,0,0,0,1,0,Matches
Abdul Fatawu Issahaku,gh GHA,FW,21-076,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches
Patson Daka,zm ZAM,"FW,MF",26-226,7.4,10,1.36,7,0,2,1,0,0,1,0.14,0,0,1,0,0,0,Matches
Ricardo Pereira,pt POR,DF,31-229,4.1,3,0.73,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Danny Ward,wls WAL,GK,31-335,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hamza Choudhury,bd BAN,"MF,DF",27-234,1.5,3,2.05,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Woyo Coulibaly,fr FRA,DF,26-003,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jeremy Monga,,"FW,MF",,1.0,1,0.97,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
